 1.085055 0.001447 -0.001441 1.080425 
 2.029595 0.005412 -0.005388 2.020391 
 2.939763 0.011759 -0.011704 2.926095 
 3.815216 0.020348 -0.020252 3.797251 
 4.655614 0.031037 -0.030890 4.633572 
 5.460613 0.043685 -0.043478 5.434773 
 6.229871 0.058145 -0.057872 6.200565 
 6.963042 0.074272 -0.073927 6.930659 
 7.659778 0.091917 -0.091497 7.624763 
 8.319730 0.110930 -0.110434 8.282582 
 8.942543 0.131157 -0.130589 8.903822 
 9.527861 0.152446 -0.151811 9.488180 
 10.075323 0.174639 -0.173946 10.035353 
 10.584564 0.197579 -0.196841 10.545034 
 11.055215 0.221104 -0.220338 11.016909 
 11.486900 0.245054 -0.244281 11.450663 
 11.879240 0.269263 -0.268509 11.845974 
 12.231849 0.293564 -0.292860 12.202514 
 12.544336 0.317790 -0.317172 12.519950 
 12.816302 0.341768 -0.341279 12.797945 
 13.047345 0.365326 -0.365012 13.036153 
 13.237053 0.388287 -0.388204 13.234224 
 13.385009 0.410474 -0.410682 13.391801 
 13.490788 0.431705 -0.432273 13.508521 
 13.553960 0.451799 -0.452800 13.584013 
 13.574086 0.470568 -0.472087 13.617899 
 13.550719 0.487826 -0.489953 13.609796 
 13.483407 0.503381 -0.506214 13.559313 
 13.371689 0.517039 -0.520687 13.466052 
 13.215096 0.528604 -0.533184 13.329607 
 1.085046 0.001447 -0.001441 1.080416 
 2.029527 0.005412 -0.005388 2.020323 
 2.939540 0.011758 -0.011703 2.925873 
 3.814702 0.020345 -0.020249 3.796739 
 4.654634 0.031031 -0.030884 4.632597 
 5.458958 0.043672 -0.043465 5.433126 
 6.227301 0.058121 -0.057848 6.198007 
 6.959290 0.074232 -0.073887 6.926924 
 7.654554 0.091855 -0.091435 7.619562 
 8.312725 0.110836 -0.110341 8.275609 
 8.933433 0.131024 -0.130456 8.894751 
 9.516311 0.152261 -0.151627 9.476678 
 10.060990 0.174390 -0.173699 10.021077 
 10.567102 0.197253 -0.196516 10.527637 
 11.034280 0.220686 -0.219921 10.996047 
 11.462153 0.244526 -0.243755 11.425994 
 11.850351 0.268608 -0.267856 11.817166 
 12.198504 0.292764 -0.292062 12.169248 
 12.506237 0.316825 -0.316209 12.481926 
 12.773178 0.340618 -0.340130 12.754882 
 12.998949 0.363971 -0.363658 12.987798 
 13.183172 0.386706 -0.386624 13.180355 
 13.325468 0.408648 -0.408855 13.332231 
 13.425455 0.429615 -0.430179 13.443101 
 13.482747 0.449425 -0.450421 13.512641 
 13.496959 0.467895 -0.469405 13.540523 
 13.467701 0.484837 -0.486951 13.526417 
 13.394584 0.500064 -0.502880 13.469990 
 13.277213 0.513386 -0.517008 13.370909 
 13.115194 0.524608 -0.529154 13.228839 
